Symbol,Time,Open,High,Low,Last,Change,%Chg,Volume,Open Int
ZQZ11,12/05/2011,99.9125,99.92,99.9125,99.92,0.01,0.01%,25501,564475
ZQZ11,11/28/2011,99.9,99.915,99.9,99.91,0.005,0.01%,30166,592431
ZQZ11,11/21/2011,99.905,99.915,99.9,99.905,-0.01,-0.01%,18348,599339
ZQX11,11/14/2011,99.915,99.9175,99.9125,99.915,-0.0025,0.00%,31522,598680
ZQX11,11/07/2011,99.9175,99.92,99.915,99.9175,-0.0025,0.00%,13100,589803
ZQX11,10/31/2011,99.92,99.925,99.915,99.92,0,0.00%,26150,606249
ZQX11,10/24/2011,99.92,99.925,99.915,99.92,0,0.00%,23977,645925
ZQV11,10/17/2011,99.925,99.9275,99.92,99.92,-0.0025,0.00%,21788,628824
ZQV11,10/10/2011,99.92,99.925,99.92,99.9225,0.005,0.01%,19017,618108
ZQV11,10/03/2011,99.9125,99.9225,99.91,99.9175,0.0075,0.01%,30402,621950
ZQV11,09/26/2011,99.905,99.915,99.905,99.91,0,0.00%,27493,678241
ZQV11,09/19/2011,99.925,99.935,99.905,99.91,-0.015,-0.02%,59676,703735
ZQV11,09/12/2011,99.925,99.935,99.915,99.925,0.005,0.01%,36623,708381
ZQV11,09/05/2011,99.915,99.93,99.91,99.92,0.005,0.01%,33945,711333
ZQQ11,08/29/2011,99.905,99.92,99.9025,99.915,0.0125,0.01%,44998,763429
ZQQ11,08/22/2011,99.9025,99.905,99.9,99.9025,0,0.00%,36694,808579
ZQQ11,08/15/2011,99.895,99.905,99.89,99.9025,0.0075,0.01%,45392,825586
ZQQ11,08/08/2011,99.915,99.9225,99.8925,99.895,-0.0225,-0.02%,93724,828785
ZQQ11,08/01/2011,99.89,99.92,99.86,99.9175,0.0275,0.03%,121643,841208
ZQQ11,07/25/2011,99.915,99.92,99.885,99.89,-0.02,-0.02%,79998,869225
ZQN11,07/18/2011,99.9275,99.9325,99.905,99.91,-0.0175,-0.02%,70536,824291
ZQN11,07/11/2011,99.9175,99.9325,99.9175,99.9275,0.01,0.01%,86270,782471
ZQN11,07/04/2011,99.9075,99.92,99.905,99.9175,0.0125,0.01%,53584,727965
ZQN11,06/27/2011,99.9,99.91,99.895,99.905,0.005,0.01%,60757,750919
ZQN11,06/20/2011,99.89,99.905,99.885,99.9,0.01,0.01%,70264,768185
ZQN11,06/13/2011,99.9,99.9,99.88,99.89,-0.005,-0.01%,58412,740618
ZQN11,06/06/2011,99.895,99.9,99.89,99.895,0,0.00%,41862,710133
ZQN11,05/30/2011,99.9,99.9,99.89,99.895,-0.0125,-0.01%,62937,705191
ZQK11,05/23/2011,99.91,99.91,99.905,99.9075,0,0.00%,62051,722032
ZQK11,05/16/2011,99.9075,99.91,99.905,99.9075,0,0.00%,46061,702397
